,image_id,split,sat_image_path,mask_path
3852,649640,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/649640_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/649640_mask.png
5803,935865,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/935865_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/935865_mask.png
1528,316677,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/316677_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/316677_mask.png
5076,83004,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/83004_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/83004_mask.png
4771,783991,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/783991_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/783991_mask.png
3786,640436,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/640436_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/640436_mask.png
3874,652681,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/652681_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/652681_mask.png
1207,276572,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/276572_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/276572_mask.png
2917,516017,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/516017_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/516017_mask.png
1986,382065,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/382065_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/382065_mask.png
1137,266719,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/266719_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/266719_mask.png
5455,883346,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/883346_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/883346_mask.png
3537,604913,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/604913_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/604913_mask.png
1481,309974,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/309974_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/309974_mask.png
2394,441253,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/441253_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/441253_mask.png
1953,378071,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/378071_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/378071_mask.png
1497,312064,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312064_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312064_mask.png
5857,942881,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/942881_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/942881_mask.png
192,129457,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/129457_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/129457_mask.png
1106,26206,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/26206_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/26206_mask.png
462,170531,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/170531_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/170531_mask.png
4799,788311,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/788311_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/788311_mask.png
1981,38144,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/38144_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/38144_mask.png
2364,436625,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/436625_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/436625_mask.png
5648,912979,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/912979_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/912979_mask.png
5215,849648,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/849648_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/849648_mask.png
4255,711325,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/711325_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/711325_mask.png
4691,771440,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/771440_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/771440_mask.png
5354,86774,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/86774_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/86774_mask.png
4571,755970,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/755970_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/755970_mask.png
2538,461706,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/461706_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/461706_mask.png
1846,36243,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/36243_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/36243_mask.png
178,127416,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/127416_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/127416_mask.png
116,118164,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/118164_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/118164_mask.png
5148,839673,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/839673_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/839673_mask.png
3543,605723,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/605723_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/605723_mask.png
1779,35432,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/35432_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/35432_mask.png
6163,991243,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/991243_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/991243_mask.png
2570,465844,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/465844_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/465844_mask.png
369,156501,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/156501_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/156501_mask.png
5669,917191,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/917191_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/917191_mask.png
2641,475984,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/475984_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/475984_mask.png
1341,29509,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/29509_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/29509_mask.png
2869,508583,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/508583_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/508583_mask.png
3749,633970,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/633970_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/633970_mask.png
5740,928443,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/928443_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/928443_mask.png
1859,364453,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/364453_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/364453_mask.png
5025,824574,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/824574_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/824574_mask.png
5574,900887,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/900887_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/900887_mask.png
3275,570612,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/570612_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/570612_mask.png
2501,456361,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/456361_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/456361_mask.png
2023,388957,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/388957_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/388957_mask.png
5548,897763,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/897763_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/897763_mask.png
3122,545986,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/545986_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/545986_mask.png
5946,955634,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/955634_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/955634_mask.png
4474,742031,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/742031_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/742031_mask.png
987,244013,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/244013_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/244013_mask.png
2266,422719,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/422719_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/422719_mask.png
5771,932396,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/932396_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/932396_mask.png
1691,34236,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/34236_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/34236_mask.png
1529,316887,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/316887_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/316887_mask.png
2742,489145,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/489145_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/489145_mask.png
4347,723199,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/723199_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/723199_mask.png
493,175388,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/175388_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/175388_mask.png
668,199826,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/199826_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/199826_mask.png
5252,85473,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/85473_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/85473_mask.png
5969,95932,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/95932_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/95932_mask.png
1982,381461,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/381461_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/381461_mask.png
6149,989146,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/989146_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/989146_mask.png
3840,647771,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/647771_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/647771_mask.png
545,18309,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/18309_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/18309_mask.png
2653,477671,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/477671_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/477671_mask.png
2874,508914,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/508914_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/508914_mask.png
1686,341612,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/341612_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/341612_mask.png
5182,844808,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/844808_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/844808_mask.png
2117,402430,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/402430_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/402430_mask.png
1259,284571,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/284571_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/284571_mask.png
1067,255668,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/255668_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/255668_mask.png
2622,473751,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/473751_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/473751_mask.png
1499,312261,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312261_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312261_mask.png
2283,425224,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/425224_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/425224_mask.png
4102,688471,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/688471_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/688471_mask.png
2484,454285,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/454285_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/454285_mask.png
5567,899722,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/899722_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/899722_mask.png
5190,84601,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/84601_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/84601_mask.png
1227,279620,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/279620_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/279620_mask.png
390,159696,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/159696_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/159696_mask.png
1650,335644,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/335644_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/335644_mask.png
5982,960793,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/960793_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/960793_mask.png
1504,312784,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312784_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/312784_mask.png
4750,780479,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/780479_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/780479_mask.png
6143,987822,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/987822_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/987822_mask.png
2395,441557,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/441557_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/441557_mask.png
434,166605,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/166605_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/166605_mask.png
3723,630417,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/630417_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/630417_mask.png
3549,606850,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/606850_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/606850_mask.png
6222,999531,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/999531_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/999531_mask.png
2285,425305,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/425305_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/425305_mask.png
556,184564,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/184564_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/184564_mask.png
992,244381,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/244381_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/244381_mask.png
5910,949841,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/949841_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/949841_mask.png
4313,718338,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/718338_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/718338_mask.png
2745,489655,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/489655_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/489655_mask.png
3155,551684,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/551684_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/551684_mask.png
223,134444,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/134444_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/134444_mask.png
4579,757498,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/757498_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/757498_mask.png
3511,602377,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/602377_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/602377_mask.png
2322,430950,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/430950_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/430950_mask.png
871,228375,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/228375_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/228375_mask.png
4822,792667,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/792667_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/792667_mask.png
5551,897973,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/897973_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/897973_mask.png
2259,421764,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/421764_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/421764_mask.png
5291,859520,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/859520_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/859520_mask.png
4232,707576,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/707576_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/707576_mask.png
232,135639,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/135639_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/135639_mask.png
5968,959091,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/959091_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/959091_mask.png
3660,62307,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/62307_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/62307_mask.png
205,131135,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/131135_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/131135_mask.png
1323,292384,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/292384_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/292384_mask.png
389,159619,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/159619_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/159619_mask.png
163,124545,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/124545_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/124545_mask.png
4956,815113,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/815113_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/815113_mask.png
5044,826518,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/826518_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/826518_mask.png
1868,366050,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/366050_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/366050_mask.png
602,188603,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/188603_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/188603_mask.png
582,186608,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/186608_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/186608_mask.png
1389,299284,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/299284_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/299284_mask.png
829,223890,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/223890_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/223890_mask.png
516,178776,train,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/178776_sat.jpg,./data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/178776_mask.png
